name,link,address,phone,firm_reference_number,status,email
City Capital Markets Ltd,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfiYrAAJ,Orion House Bessemer Road    Welwyn Garden City AL7 1HH UNITED KINGDOM,+44 01707800992,482324,Authorised,m.lockwood1@btinternet.com
Vita Financial Planning Ltd,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000NMhLEAA1,Orion House Bessemer Road   Welwyn Garden City AL7 1HH UNITED KINGDOM,+44 01707244450,597852,Appointed representative,info@vitafp.co.uk
Bounty (UK) Ltd,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfQ9bAAF,29 Broadwater Road    Welwyn Garden City AL7 3BQ UNITED KINGDOM,+44 01707294041,222169,Appointed representative - introducer,gburt@bounty.com
Beechwood Financial Services Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000lB4wuAAC,2nd Floor Gate House Fretherne Road  Welwyn Garden City AL8 6NS UNITED KINGDOM,44 1707336539,677641,Authorised,phil@beechwoodfs.co.uk
Priyanka Singh,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000003ZbFsGAAV,13 Appletree Way    Welwyn Garden City AL7 2FE UNITED KINGDOM,+44 07540357313,764863,Appointed representative,
John Cottrell,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000nS5rLAAS,15 Pitsfield    Welwyn Garden City AL8 7SJ UNITED KINGDOM,+44 01707376585,685333,Appointed representative - introducer,
Strategy Financial Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfcGJAAZ,Weltech Business Centre Ridgeway    Welwyn Garden City AL7 2AA UNITED KINGDOM,44 01707323388,431155,Appointed representative,
Alan Merrill,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000NMYZ0AAP,49 Woodhall Lane    Welwyn Garden City AL7 3TB UNITED KINGDOM, 07813572584,592432,Appointed representative - introducer,abmerrill43@gmail.com
Stephen Savill,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000003uHB3jAAG,2 Greenways Digswell   Welwyn AL6 0EE UNITED KINGDOM,+44 01702431130,785204,Appointed representative,
1 Leta Finance Ltd,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=0010X00004D7e7wQAB,5 Little Lake    Welwyn Garden City AL7 4RT UNITED KINGDOM,+44 07902982434,812416,Appointed representative,eoguno@1letfinance.com
Searle Wealth Management Ltd,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000NMkZ4AAL,2 Harmer Dell    Digswell AL6 0BE UNITED KINGDOM,+44 07885665148,611672,Appointed representative,john.searle@sjpp.co.uk
Bakers, Food & Allied Workers' Union,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfVuFAAV,Stanborough House Great North Road   Welwyn Garden City AL8 7TA UNITED KINGDOM,44 01707260150,401799,Appointed representative - introducer,
